Ano,Ambito,Departamento,Provincia,Distrito,Organizacion,Votos,Validos,Emitidos
2006,PERU,CAJAMARCA,CAJABAMBA,CAJABAMBA,Votos Impugnados,0,,0.000 %
2006,PERU,CAJAMARCA,CAJABAMBA,CONDEBAMBA,ALIANZA POR EL FUTURO,"1,231",47.273 %,27.073 %
2006,PERU,CAJAMARCA,CAJABAMBA,CONDEBAMBA,UNION POR EL PERU,522,20.046 %,11.480 %
2006,PERU,CAJAMARCA,CAJABAMBA,CONDEBAMBA,UNIDAD NACIONAL,304,11.674 %,6.686 %
2006,PERU,CAJAMARCA,CAJABAMBA,CONDEBAMBA,PARTIDO APRISTA PERUANO,290,11.137 %,6.378 %
2006,PERU,CAJAMARCA,CAJABAMBA,CONDEBAMBA,FRENTE DE CENTRO,60,2.304 %,1.320 %
2006,PERU,CAJAMARCA,CAJABAMBA,CONDEBAMBA,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,53,2.035 %,1.166 %
2006,PERU,CAJAMARCA,CAJABAMBA,CONDEBAMBA,RESTAURACION NACIONAL,49,1.882 %,1.078 %
2006,PERU,CAJAMARCA,CAJABAMBA,CONDEBAMBA,PARTIDO JUSTICIA NACIONAL,29,1.114 %,0.638 %
2006,PERU,CAJAMARCA,CAJABAMBA,CONDEBAMBA,ALIANZA PARA EL PROGRESO,13,0.499 %,0.286 %
2006,PERU,CAJAMARCA,CAJABAMBA,CONDEBAMBA,CONCERTACION DESCENTRALISTA,11,0.422 %,0.242 %
2006,PERU,CAJAMARCA,CAJABAMBA,CONDEBAMBA,PARTIDO RECONSTRUCCION DEMOCRATICA,11,0.422 %,0.242 %
2006,PERU,CAJAMARCA,CAJABAMBA,CONDEBAMBA,FUERZA DEMOCRATICA,8,0.307 %,0.176 %
2006,PERU,CAJAMARCA,CAJABAMBA,CONDEBAMBA,MOVIMIENTO NUEVA IZQUIERDA,7,0.269 %,0.154 %
2006,PERU,CAJAMARCA,CAJABAMBA,CONDEBAMBA,PROGRESEMOS PERU,5,0.192 %,0.110 %
2006,PERU,CAJAMARCA,CAJABAMBA,CONDEBAMBA,PARTIDO SOCIALISTA,4,0.154 %,0.088 %
2006,PERU,CAJAMARCA,CAJABAMBA,CONDEBAMBA,RESURGIMIENTO PERUANO,3,0.115 %,0.066 %
2006,PERU,CAJAMARCA,CAJABAMBA,CONDEBAMBA,PERU AHORA,2,0.077 %,0.044 %
2006,PERU,CAJAMARCA,CAJABAMBA,CONDEBAMBA,CON FUERZA PERU,1,0.038 %,0.022 %
2006,PERU,CAJAMARCA,CAJABAMBA,CONDEBAMBA,PARTIDO RENACIMIENTO ANDINO,1,0.038 %,0.022 %
2006,PERU,CAJAMARCA,CAJABAMBA,CONDEBAMBA,Y SE LLAMA PERU,0,0.000 %,0.000 %
2006,PERU,CAJAMARCA,CAJABAMBA,CONDEBAMBA,Votos Blancos,"1,451",,31.911 %
2006,PERU,CAJAMARCA,CAJABAMBA,CONDEBAMBA,Votos Nulos,492,,10.820 %
2006,PERU,CAJAMARCA,CAJABAMBA,CONDEBAMBA,Votos Impugnados,0,,0.000 %
2006,PERU,CAJAMARCA,CAJABAMBA,SITACOCHA,ALIANZA POR EL FUTURO,"1,062",54.714 %,33.281 %
2006,PERU,CAJAMARCA,CAJABAMBA,SITACOCHA,PARTIDO APRISTA PERUANO,296,15.250 %,9.276 %
2006,PERU,CAJAMARCA,CAJABAMBA,SITACOCHA,UNION POR EL PERU,222,11.437 %,6.957 %
2006,PERU,CAJAMARCA,CAJABAMBA,SITACOCHA,UNIDAD NACIONAL,145,7.470 %,4.544 %
2006,PERU,CAJAMARCA,CAJABAMBA,SITACOCHA,RESTAURACION NACIONAL,63,3.246 %,1.974 %
2006,PERU,CAJAMARCA,CAJABAMBA,SITACOCHA,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,50,2.576 %,1.567 %
2006,PERU,CAJAMARCA,CAJABAMBA,SITACOCHA,PARTIDO JUSTICIA NACIONAL,24,1.236 %,0.752 %
2006,PERU,CAJAMARCA,CAJABAMBA,SITACOCHA,FRENTE DE CENTRO,21,1.082 %,0.658 %
2006,PERU,CAJAMARCA,CAJABAMBA,SITACOCHA,ALIANZA PARA EL PROGRESO,15,0.773 %,0.470 %
2006,PERU,CAJAMARCA,CAJABAMBA,SITACOCHA,PARTIDO RECONSTRUCCION DEMOCRATICA,9,0.464 %,0.282 %
2006,PERU,CAJAMARCA,CAJABAMBA,SITACOCHA,CONCERTACION DESCENTRALISTA,7,0.361 %,0.219 %
2006,PERU,CAJAMARCA,CAJABAMBA,SITACOCHA,RESURGIMIENTO PERUANO,5,0.258 %,0.157 %
2006,PERU,CAJAMARCA,CAJABAMBA,SITACOCHA,PERU AHORA,4,0.206 %,0.125 %
2006,PERU,CAJAMARCA,CAJABAMBA,SITACOCHA,PROGRESEMOS PERU,4,0.206 %,0.125 %
2006,PERU,CAJAMARCA,CAJABAMBA,SITACOCHA,PARTIDO SOCIALISTA,4,0.206 %,0.125 %
2006,PERU,CAJAMARCA,CAJABAMBA,SITACOCHA,FUERZA DEMOCRATICA,4,0.206 %,0.125 %
2006,PERU,CAJAMARCA,CAJABAMBA,SITACOCHA,MOVIMIENTO NUEVA IZQUIERDA,3,0.155 %,0.094 %
2006,PERU,CAJAMARCA,CAJABAMBA,SITACOCHA,PARTIDO RENACIMIENTO ANDINO,2,0.103 %,0.063 %
2006,PERU,CAJAMARCA,CAJABAMBA,SITACOCHA,CON FUERZA PERU,1,0.052 %,0.031 %
2006,PERU,CAJAMARCA,CAJABAMBA,SITACOCHA,Y SE LLAMA PERU,0,0.000 %,0.000 %
2006,PERU,CAJAMARCA,CAJABAMBA,SITACOCHA,Votos Blancos,"1,069",,33.500 %
2006,PERU,CAJAMARCA,CAJABAMBA,SITACOCHA,Votos Nulos,181,,5.672 %
2006,PERU,CAJAMARCA,CAJABAMBA,SITACOCHA,Votos Impugnados,0,,0.000 %
2006,PERU,CAJAMARCA,CAJAMARCA,ASUNCION,PARTIDO APRISTA PERUANO,"1,160",39.402 %,23.810 %
2006,PERU,CAJAMARCA,CAJAMARCA,ASUNCION,UNION POR EL PERU,622,21.128 %,12.767 %
2006,PERU,CAJAMARCA,CAJAMARCA,ASUNCION,ALIANZA POR EL FUTURO,607,20.618 %,12.459 %
2006,PERU,CAJAMARCA,CAJAMARCA,ASUNCION,UNIDAD NACIONAL,215,7.303 %,4.413 %
2006,PERU,CAJAMARCA,CAJAMARCA,ASUNCION,MOVIMIENTO NUEVA IZQUIERDA,69,2.344 %,1.416 %
2006,PERU,CAJAMARCA,CAJAMARCA,ASUNCION,FRENTE DE CENTRO,68,2.310 %,1.396 %
2006,PERU,CAJAMARCA,CAJAMARCA,ASUNCION,RESTAURACION NACIONAL,45,1.529 %,0.924 %
2006,PERU,CAJAMARCA,CAJAMARCA,ASUNCION,PARTIDO RECONSTRUCCION DEMOCRATICA,40,1.359 %,0.821 %
2006,PERU,CAJAMARCA,CAJAMARCA,ASUNCION,PARTIDO JUSTICIA NACIONAL,27,0.917 %,0.554 %
2006,PERU,CAJAMARCA,CAJAMARCA,ASUNCION,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,18,0.611 %,0.369 %
2006,PERU,CAJAMARCA,CAJAMARCA,ASUNCION,ALIANZA PARA EL PROGRESO,18,0.611 %,0.369 %
2006,PERU,CAJAMARCA,CAJAMARCA,ASUNCION,RESURGIMIENTO PERUANO,9,0.306 %,0.185 %
2006,PERU,CAJAMARCA,CAJAMARCA,ASUNCION,PERU AHORA,9,0.306 %,0.185 %
2006,PERU,CAJAMARCA,CAJAMARCA,ASUNCION,CONCERTACION DESCENTRALISTA,9,0.306 %,0.185 %
2006,PERU,CAJAMARCA,CAJAMARCA,ASUNCION,PARTIDO SOCIALISTA,8,0.272 %,0.164 %
2006,PERU,CAJAMARCA,CAJAMARCA,ASUNCION,PARTIDO RENACIMIENTO ANDINO,5,0.170 %,0.103 %
2006,PERU,CAJAMARCA,CAJAMARCA,ASUNCION,FUERZA DEMOCRATICA,5,0.170 %,0.103 %
2006,PERU,CAJAMARCA,CAJAMARCA,ASUNCION,PROGRESEMOS PERU,4,0.136 %,0.082 %
2006,PERU,CAJAMARCA,CAJAMARCA,ASUNCION,Y SE LLAMA PERU,3,0.102 %,0.062 %
2006,PERU,CAJAMARCA,CAJAMARCA,ASUNCION,CON FUERZA PERU,3,0.102 %,0.062 %
2006,PERU,CAJAMARCA,CAJAMARCA,ASUNCION,Votos Blancos,"1,157",,23.748 %
2006,PERU,CAJAMARCA,CAJAMARCA,ASUNCION,Votos Nulos,771,,15.825 %
2006,PERU,CAJAMARCA,CAJAMARCA,ASUNCION,Votos Impugnados,0,,0.000 %
2006,PERU,CAJAMARCA,CAJAMARCA,CAJAMARCA,PARTIDO APRISTA PERUANO,"19,008",23.345 %,19.091 %
2006,PERU,CAJAMARCA,CAJAMARCA,CAJAMARCA,UNIDAD NACIONAL,"18,978",23.308 %,19.061 %
2006,PERU,CAJAMARCA,CAJAMARCA,CAJAMARCA,UNION POR EL PERU,"17,329",21.283 %,17.405 %
2006,PERU,CAJAMARCA,CAJAMARCA,CAJAMARCA,ALIANZA POR EL FUTURO,"13,080",16.064 %,13.137 %
2006,PERU,CAJAMARCA,CAJAMARCA,CAJAMARCA,FRENTE DE CENTRO,"6,990",8.585 %,7.020 %
2006,PERU,CAJAMARCA,CAJAMARCA,CAJAMARCA,RESTAURACION NACIONAL,"2,252",2.766 %,2.262 %
2006,PERU,CAJAMARCA,CAJAMARCA,CAJAMARCA,PARTIDO JUSTICIA NACIONAL,591,0.726 %,0.594 %
2006,PERU,CAJAMARCA,CAJAMARCA,CAJAMARCA,CONCERTACION DESCENTRALISTA,526,0.646 %,0.528 %
2006,PERU,CAJAMARCA,CAJAMARCA,CAJAMARCA,PARTIDO SOCIALISTA,452,0.555 %,0.454 %
2006,PERU,CAJAMARCA,CAJAMARCA,CAJAMARCA,PERU AHORA,449,0.551 %,0.451 %
2006,PERU,CAJAMARCA,CAJAMARCA,CAJAMARCA,PARTIDO RECONSTRUCCION DEMOCRATICA,403,0.495 %,0.405 %
2006,PERU,CAJAMARCA,CAJAMARCA,CAJAMARCA,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,324,0.398 %,0.325 %
2006,PERU,CAJAMARCA,CAJAMARCA,CAJAMARCA,MOVIMIENTO NUEVA IZQUIERDA,237,0.291 %,0.238 %
2006,PERU,CAJAMARCA,CAJAMARCA,CAJAMARCA,CON FUERZA PERU,200,0.246 %,0.201 %
2006,PERU,CAJAMARCA,CAJAMARCA,CAJAMARCA,ALIANZA PARA EL PROGRESO,179,0.220 %,0.180 %
2006,PERU,CAJAMARCA,CAJAMARCA,CAJAMARCA,FUERZA DEMOCRATICA,131,0.161 %,0.132 %
2006,PERU,CAJAMARCA,CAJAMARCA,CAJAMARCA,PARTIDO RENACIMIENTO ANDINO,97,0.119 %,0.097 %
2006,PERU,CAJAMARCA,CAJAMARCA,CAJAMARCA,PROGRESEMOS PERU,94,0.115 %,0.094 %
2006,PERU,CAJAMARCA,CAJAMARCA,CAJAMARCA,RESURGIMIENTO PERUANO,69,0.085 %,0.069 %
2006,PERU,CAJAMARCA,CAJAMARCA,CAJAMARCA,Y SE LLAMA PERU,34,0.042 %,0.034 %
2006,PERU,CAJAMARCA,CAJAMARCA,CAJAMARCA,Votos Blancos,"13,216",,13.274 %
2006,PERU,CAJAMARCA,CAJAMARCA,CAJAMARCA,Votos Nulos,"4,927",,4.948 %
2006,PERU,CAJAMARCA,CAJAMARCA,CAJAMARCA,Votos Impugnados,0,,0.000 %
2006,PERU,CAJAMARCA,CAJAMARCA,CHETILLA,ALIANZA POR EL FUTURO,509,51.002 %,28.262 %
2006,PERU,CAJAMARCA,CAJAMARCA,CHETILLA,UNION POR EL PERU,263,26.353 %,14.603 %
2006,PERU,CAJAMARCA,CAJAMARCA,CHETILLA,PARTIDO APRISTA PERUANO,81,8.116 %,4.498 %
2006,PERU,CAJAMARCA,CAJAMARCA,CHETILLA,UNIDAD NACIONAL,37,3.707 %,2.054 %
2006,PERU,CAJAMARCA,CAJAMARCA,CHETILLA,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,25,2.505 %,1.388 %
2006,PERU,CAJAMARCA,CAJAMARCA,CHETILLA,RESTAURACION NACIONAL,19,1.904 %,1.055 %
2006,PERU,CAJAMARCA,CAJAMARCA,CHETILLA,PARTIDO RECONSTRUCCION DEMOCRATICA,12,1.202 %,0.666 %
2006,PERU,CAJAMARCA,CAJAMARCA,CHETILLA,FRENTE DE CENTRO,11,1.102 %,0.611 %
2006,PERU,CAJAMARCA,CAJAMARCA,CHETILLA,PERU AHORA,9,0.902 %,0.500 %
2006,PERU,CAJAMARCA,CAJAMARCA,CHETILLA,PARTIDO JUSTICIA NACIONAL,7,0.701 %,0.389 %
2006,PERU,CAJAMARCA,CAJAMARCA,CHETILLA,FUERZA DEMOCRATICA,3,0.301 %,0.167 %
2006,PERU,CAJAMARCA,CAJAMARCA,CHETILLA,PROGRESEMOS PERU,3,0.301 %,0.167 %
2006,PERU,CAJAMARCA,CAJAMARCA,CHETILLA,CON FUERZA PERU,3,0.301 %,0.167 %
2006,PERU,CAJAMARCA,CAJAMARCA,CHETILLA,PARTIDO SOCIALISTA,3,0.301 %,0.167 %
2006,PERU,CAJAMARCA,CAJAMARCA,CHETILLA,ALIANZA PARA EL PROGRESO,3,0.301 %,0.167 %
2006,PERU,CAJAMARCA,CAJAMARCA,CHETILLA,MOVIMIENTO NUEVA IZQUIERDA,3,0.301 %,0.167 %
2006,PERU,CAJAMARCA,CAJAMARCA,CHETILLA,RESURGIMIENTO PERUANO,2,0.200 %,0.111 %
2006,PERU,CAJAMARCA,CAJAMARCA,CHETILLA,CONCERTACION DESCENTRALISTA,2,0.200 %,0.111 %
2006,PERU,CAJAMARCA,CAJAMARCA,CHETILLA,Y SE LLAMA PERU,2,0.200 %,0.111 %
2006,PERU,CAJAMARCA,CAJAMARCA,CHETILLA,PARTIDO RENACIMIENTO ANDINO,1,0.100 %,0.056 %
2006,PERU,CAJAMARCA,CAJAMARCA,CHETILLA,Votos Blancos,695,,38.590 %
2006,PERU,CAJAMARCA,CAJAMARCA,CHETILLA,Votos Nulos,108,,5.997 %
2006,PERU,CAJAMARCA,CAJAMARCA,CHETILLA,Votos Impugnados,0,,0.000 %
2006,PERU,CAJAMARCA,CAJAMARCA,COSPAN,PARTIDO APRISTA PERUANO,"1,094",58.161 %,36.662 %
2006,PERU,CAJAMARCA,CAJAMARCA,COSPAN,UNION POR EL PERU,421,22.382 %,14.109 %
2006,PERU,CAJAMARCA,CAJAMARCA,COSPAN,UNIDAD NACIONAL,115,6.114 %,3.854 %
2006,PERU,CAJAMARCA,CAJAMARCA,COSPAN,ALIANZA POR EL FUTURO,107,5.688 %,3.586 %
2006,PERU,CAJAMARCA,CAJAMARCA,COSPAN,MOVIMIENTO NUEVA IZQUIERDA,33,1.754 %,1.106 %
2006,PERU,CAJAMARCA,CAJAMARCA,COSPAN,RESTAURACION NACIONAL,18,0.957 %,0.603 %
2006,PERU,CAJAMARCA,CAJAMARCA,COSPAN,FRENTE DE CENTRO,16,0.851 %,0.536 %
2006,PERU,CAJAMARCA,CAJAMARCA,COSPAN,RESURGIMIENTO PERUANO,13,0.691 %,0.436 %
2006,PERU,CAJAMARCA,CAJAMARCA,COSPAN,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,12,0.638 %,0.402 %
2006,PERU,CAJAMARCA,CAJAMARCA,COSPAN,PERU AHORA,10,0.532 %,0.335 %
2006,PERU,CAJAMARCA,CAJAMARCA,COSPAN,ALIANZA PARA EL PROGRESO,9,0.478 %,0.302 %
2006,PERU,CAJAMARCA,CAJAMARCA,COSPAN,PARTIDO RECONSTRUCCION DEMOCRATICA,8,0.425 %,0.268 %
2006,PERU,CAJAMARCA,CAJAMARCA,COSPAN,PARTIDO JUSTICIA NACIONAL,5,0.266 %,0.168 %
2006,PERU,CAJAMARCA,CAJAMARCA,COSPAN,FUERZA DEMOCRATICA,5,0.266 %,0.168 %
2006,PERU,CAJAMARCA,CAJAMARCA,COSPAN,PARTIDO RENACIMIENTO ANDINO,4,0.213 %,0.134 %
2006,PERU,CAJAMARCA,CAJAMARCA,COSPAN,CONCERTACION DESCENTRALISTA,3,0.159 %,0.101 %
2006,PERU,CAJAMARCA,CAJAMARCA,COSPAN,CON FUERZA PERU,3,0.159 %,0.101 %
2006,PERU,CAJAMARCA,CAJAMARCA,COSPAN,Y SE LLAMA PERU,2,0.106 %,0.067 %
2006,PERU,CAJAMARCA,CAJAMARCA,COSPAN,PROGRESEMOS PERU,2,0.106 %,0.067 %
2006,PERU,CAJAMARCA,CAJAMARCA,COSPAN,PARTIDO SOCIALISTA,1,0.053 %,0.034 %
2006,PERU,CAJAMARCA,CAJAMARCA,COSPAN,Votos Blancos,854,,28.619 %
2006,PERU,CAJAMARCA,CAJAMARCA,COSPAN,Votos Nulos,249,,8.345 %
2006,PERU,CAJAMARCA,CAJAMARCA,COSPAN,Votos Impugnados,0,,0.000 %
2006,PERU,CAJAMARCA,CAJAMARCA,ENCA?ADA,ALIANZA POR EL FUTURO,"2,186",35.550 %,21.745 %
2006,PERU,CAJAMARCA,CAJAMARCA,ENCA?ADA,UNION POR EL PERU,"1,437",23.370 %,14.294 %
2006,PERU,CAJAMARCA,CAJAMARCA,ENCA?ADA,PARTIDO APRISTA PERUANO,"1,306",21.239 %,12.991 %
2006,PERU,CAJAMARCA,CAJAMARCA,ENCA?ADA,UNIDAD NACIONAL,379,6.164 %,3.770 %
2006,PERU,CAJAMARCA,CAJAMARCA,ENCA?ADA,RESTAURACION NACIONAL,227,3.692 %,2.258 %
2006,PERU,CAJAMARCA,CAJAMARCA,ENCA?ADA,FRENTE DE CENTRO,130,2.114 %,1.293 %
2006,PERU,CAJAMARCA,CAJAMARCA,ENCA?ADA,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,127,2.065 %,1.263 %
2006,PERU,CAJAMARCA,CAJAMARCA,ENCA?ADA,PARTIDO RECONSTRUCCION DEMOCRATICA,108,1.756 %,1.074 %
2006,PERU,CAJAMARCA,CAJAMARCA,ENCA?ADA,ALIANZA PARA EL PROGRESO,44,0.716 %,0.438 %
2006,PERU,CAJAMARCA,CAJAMARCA,ENCA?ADA,PARTIDO JUSTICIA NACIONAL,39,0.634 %,0.388 %
2006,PERU,CAJAMARCA,CAJAMARCA,ENCA?ADA,PROGRESEMOS PERU,26,0.423 %,0.259 %
2006,PERU,CAJAMARCA,CAJAMARCA,ENCA?ADA,PARTIDO SOCIALISTA,25,0.407 %,0.249 %
2006,PERU,CAJAMARCA,CAJAMARCA,ENCA?ADA,FUERZA DEMOCRATICA,22,0.358 %,0.219 %
2006,PERU,CAJAMARCA,CAJAMARCA,ENCA?ADA,CONCERTACION DESCENTRALISTA,22,0.358 %,0.219 %
2006,PERU,CAJAMARCA,CAJAMARCA,ENCA?ADA,PERU AHORA,21,0.342 %,0.209 %
2006,PERU,CAJAMARCA,CAJAMARCA,ENCA?ADA,RESURGIMIENTO PERUANO,19,0.309 %,0.189 %
2006,PERU,CAJAMARCA,CAJAMARCA,ENCA?ADA,MOVIMIENTO NUEVA IZQUIERDA,15,0.244 %,0.149 %
2006,PERU,CAJAMARCA,CAJAMARCA,ENCA?ADA,PARTIDO RENACIMIENTO ANDINO,7,0.114 %,0.070 %
2006,PERU,CAJAMARCA,CAJAMARCA,ENCA?ADA,Y SE LLAMA PERU,6,0.098 %,0.060 %
2006,PERU,CAJAMARCA,CAJAMARCA,ENCA?ADA,CON FUERZA PERU,3,0.049 %,0.030 %
2006,PERU,CAJAMARCA,CAJAMARCA,ENCA?ADA,Votos Blancos,"2,937",,29.215 %
2006,PERU,CAJAMARCA,CAJAMARCA,ENCA?ADA,Votos Nulos,967,,9.619 %
2006,PERU,CAJAMARCA,CAJAMARCA,ENCA?ADA,Votos Impugnados,0,,0.000 %
2006,PERU,CAJAMARCA,CAJAMARCA,JESUS,PARTIDO APRISTA PERUANO,"1,445",28.941 %,19.419 %
2006,PERU,CAJAMARCA,CAJAMARCA,JESUS,ALIANZA POR EL FUTURO,"1,422",28.480 %,19.110 %
2006,PERU,CAJAMARCA,CAJAMARCA,JESUS,UNION POR EL PERU,"1,024",20.509 %,13.762 %
2006,PERU,CAJAMARCA,CAJAMARCA,JESUS,UNIDAD NACIONAL,460,9.213 %,6.182 %
2006,PERU,CAJAMARCA,CAJAMARCA,JESUS,RESTAURACION NACIONAL,179,3.585 %,2.406 %
2006,PERU,CAJAMARCA,CAJAMARCA,JESUS,FRENTE DE CENTRO,150,3.004 %,2.016 %
2006,PERU,CAJAMARCA,CAJAMARCA,JESUS,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,117,2.343 %,1.572 %
2006,PERU,CAJAMARCA,CAJAMARCA,JESUS,PARTIDO RECONSTRUCCION DEMOCRATICA,45,0.901 %,0.605 %
2006,PERU,CAJAMARCA,CAJAMARCA,JESUS,CONCERTACION DESCENTRALISTA,25,0.501 %,0.336 %
2006,PERU,CAJAMARCA,CAJAMARCA,JESUS,FUERZA DEMOCRATICA,20,0.401 %,0.269 %
2006,PERU,CAJAMARCA,CAJAMARCA,JESUS,PARTIDO JUSTICIA NACIONAL,17,0.340 %,0.228 %
2006,PERU,CAJAMARCA,CAJAMARCA,JESUS,ALIANZA PARA EL PROGRESO,16,0.320 %,0.215 %
2006,PERU,CAJAMARCA,CAJAMARCA,JESUS,MOVIMIENTO NUEVA IZQUIERDA,15,0.300 %,0.202 %
2006,PERU,CAJAMARCA,CAJAMARCA,JESUS,PERU AHORA,13,0.260 %,0.175 %
2006,PERU,CAJAMARCA,CAJAMARCA,JESUS,PARTIDO SOCIALISTA,12,0.240 %,0.161 %
2006,PERU,CAJAMARCA,CAJAMARCA,JESUS,RESURGIMIENTO PERUANO,9,0.180 %,0.121 %
